frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,128.1,,,,,,,,,,33,849,9,71.29896444711841,0.7558194111001951,,,,
1,128.1,,,,,,,,,,34,849,9,,,,,,
2,224.5,,,,,,,,,,55,957,650,,,,,,
3,273.0,6,543,705,45.60110446971177,59.20585386951528,,,,,47,954,649,80.11685757662067,54.50297753378074,,,,
4,273.0,10,734,263,61.641271971949244,22.086722791039033,,,,,,,,,,,,,
5,283.1,10,734,264,61.641271971949244,22.17070272560572,,,,,,,,,,,,,
6,329.9,10,734,264,61.641271971949244,22.17070272560572,114.64170399146406,-265.97391884740415,-5879.061743152003,13529.26088163323,,,,,,,,,
7,347.6,10,734,264,61.641271971949244,22.17070272560572,0.0,0.3297180511684008,0.0,-21.34097418565703,,,,,,,,,
8,357.8,10,734,264,61.641271971949244,22.17070272560572,0.0,-1.8151387726430404,0.0,-48.59809297571729,,,,,,,,,
9,368.9,10,734,263,61.641271971949244,22.086722791039033,0.0,-0.9432461430678066,0.0,62.05566730709247,,,,,,,,,
10,378.5,10,734,264,61.641271971949244,22.17070272560572,0.9331774950053139,0.0,60.399837864421656,0.0,,,,,,,,,
11,390.1,10,734,263,61.641271971949244,22.086722791039033,0.0,-1.1266657888203788,0.0,91.22799909476754,,,,,,,,,
12,399.3,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
13,418.0,10,735,264,61.725251906515936,22.17070272560572,1.257615817474055,-0.2518657105467341,-43.97258103056133,-12.752694204897933,,,,,,,,,
14,447.1,10,734,264,61.641271971949244,22.17070272560572,0.0,0.6284636283715594,0.0,-29.64451077224339,,,,,,,,,
15,482.7,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
16,514.7,10,734,263,61.641271971949244,22.086722791039033,-0.44086206717287424,-0.4408620671728556,8.843772661441816,8.843772661441443,,,,,,,,,
17,546.5,10,734,263,61.641271971949244,22.086722791039033,0.4027756304368191,-0.02635067624199455,8.104137433336403,16.46917265124632,,,,,,,,,
18,582.7,10,734,263,61.641271971949244,22.086722791039033,0.0,0.42179585610456005,0.0,8.435917122091196,,,,,,,,,
19,614.4,10,734,263,61.641271971949244,22.086722791039033,0.41428173001519836,0.4142817300151808,8.310566299201579,8.310566299201227,,,,,,,,,
20,649.1,10,735,264,61.725251906515936,22.17070272560572,-0.04017265672476022,-0.040172656724758546,-16.73860696864984,-16.738606968649137,,,,,,,,,
21,682.4,10,734,264,61.641271971949244,22.17070272560572,0.0,0.42179585610456,0.0,-8.435917122091197,,,,,,,,,
22,715.2,10,735,264,61.725251906515936,22.17070272560572,-0.015147895845363423,-0.01514789584536277,-16.830995383736525,-16.830995383735814,,,,,,,,,
23,746.9,10,734,263,61.641271971949244,22.086722791039033,-0.43390584064453486,-0.018050551839165138,8.686803616507207,17.191001751585603,,,,,,,,,
24,782.4,10,734,264,61.641271971949244,22.17070272560572,0.0,0.0,0.0,0.0,,,,,,,,,
25,814.2,10,734,263,61.641271971949244,22.086722791039033,-0.4315082985229923,-0.43150829852297407,8.419674117521803,8.419674117521446,,,,,,,,,
26,846.8,10,734,264,61.641271971949244,22.17070272560572,0.0,0.006678371286217211,0.0,-16.69592821554191,,,,,,,,,
27,882.6,10,734,264,61.641271971949244,22.17070272560572,0.0,-0.4074005665300641,0.0,-8.131747834931417,,,,,,,,,
28,916.7,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
29,947.5,10,734,263,61.641271971949244,22.086722791039033,0.0,0.01517827002891131,0.0,16.864744476568607,,,,,,,,,
30,984.7,10,734,263,61.641271971949244,22.086722791039033,0.0,-0.40199582496706715,0.0,8.237619364079253,,,,,,,,,
31,1014.8,10,734,263,61.641271971949244,22.086722791039033,0.4177563824432073,0.0,8.516949693031757,0.0,,,,,,,,,
32,1046.4,10,734,264,61.641271971949244,22.17070272560572,0.0,0.42755386749418417,0.0,-8.525500847341661,,,,,,,,,
33,1082.3,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
34,1114.5,10,735,263,61.725251906515936,22.086722791039033,0.005872793100085942,0.0,-16.77940885738725,0.0,,,,,,,,,
35,1146.7,10,734,264,61.641271971949244,22.17070272560572,0.0,-0.4076056681738262,0.0,-8.127730172957653,,,,,,,,,
36,1182.4,10,734,263,61.641271971949244,22.086722791039033,0.0,0.4194801926408015,0.0,8.381222630185833,,,,,,,,,
37,1214.9,10,734,263,61.641271971949244,22.086722791039033,-0.4169733388999363,0.4220021176466575,8.356179136271273,8.40641668618839,,,,,,,,,
38,1248.8,10,734,263,61.641271971949244,22.086722791039033,0.0,0.017273052163568833,0.0,16.45052587006628,,,,,,,,,
39,1282.5,10,734,264,61.641271971949244,22.17070272560572,0.0,0.4192705573621202,0.0,-8.385411147242403,,,,,,,,,
40,1314.7,10,734,264,61.641271971949244,22.17070272560572,0.0,0.42074115514372906,0.0,-8.431686475826238,,,,,,,,,
41,1348.8,10,734,264,61.641271971949244,22.17070272560572,0.0,0.41693965499876484,0.0,-8.457193813362359,,,,,,,,,
42,1382.5,10,734,264,61.641271971949244,22.17070272560572,0.0,0.0,0.0,0.0,,,,,,,,,
43,1414.5,10,734,264,61.641271971949244,22.17070272560572,0.0,0.0,0.0,0.0,,,,,,,,,
44,1447.4,10,734,264,61.641271971949244,22.17070272560572,0.0,-0.4220019788375504,0.0,-8.55987786688742,,,,,,,,,
45,1482.4,10,734,264,61.641271971949244,22.17070272560572,0.0,0.0,0.0,0.0,,,,,,,,,
46,1514.6,10,734,264,61.641271971949244,22.17070272560572,0.0,-0.42074031281909313,0.0,-8.406399856525345,,,,,,,,,
47,1546.6,10,734,263,61.641271971949244,22.086722791039033,0.0,-0.4247741582692776,0.0,8.503987152538084,,,,,,,,,
48,1582.6,10,734,264,61.641271971949244,22.17070272560572,0.0,-0.42158263745401475,0.0,-8.41482310287456,,,,,,,,,
49,1614.5,10,734,263,61.641271971949244,22.086722791039033,0.0,-0.42053025795524485,0.0,8.410605159104897,,,,,,,,,
50,1646.5,10,734,263,61.641271971949244,22.086722791039033,0.0,0.41843327154846527,0.0,8.37704247344274,,,,,,,,,
51,1682.4,10,734,263,61.641271971949244,22.086722791039033,0.0,-0.003359210819507723,0.0,16.79605409755404,,,,,,,,,
52,1714.5,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
53,1746.7,10,734,264,61.641271971949244,22.17070272560572,0.0,0.4190615497339733,0.0,-8.364501990698066,,,,,,,,,
54,1782.6,10,734,264,61.641271971949244,22.17070272560572,0.0,-0.003359210819507723,0.0,-16.79605409755404,,,,,,,,,
55,1814.5,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
56,1846.9,10,734,264,61.641271971949244,22.17070272560572,0.0,0.0,0.0,0.0,,,,,,,,,
57,1882.4,10,734,263,61.641271971949244,22.086722791039033,0.0,-0.42116231746118893,0.0,8.423246349223778,,,,,,,,,
58,1914.5,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
59,1947.9,10,734,264,61.641271971949244,22.17070272560572,0.0,-0.43163611522387274,0.0,-8.547249806413323,,,,,,,,,
60,1982.4,10,734,263,61.641271971949244,22.086722791039033,0.0,0.41989967283344143,0.0,8.397993456668827,,,,,,,,,
61,2014.4,10,734,263,61.641271971949244,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
62,2046.4,10,734,263,61.641271971949244,22.086722791039033,0.0,-0.015300684972495354,0.0,17.000761080552962,,,,,,,,,
63,2082.4,10,734,264,61.641271971949244,22.17070272560572,0.0,0.41989967283344143,0.0,-8.397993456668827,,,,,,,,,
64,2114.4,10,734,263,61.641271971949244,22.086722791039033,0.0,0.40579249948509366,0.0,8.115849989701871,,,,,,,,,
65,2146.7,10,734,264,61.641271971949244,22.17070272560572,0.0,0.4175976552977517,0.0,-8.368690486928875,,,,,,,,,
66,2182.4,10,734,264,61.641271971949244,22.17070272560572,0.0,0.0,0.0,0.0,,,,,,,,,
67,2216.7,10,734,264,61.641271971949244,22.17070272560572,-0.4383332350066967,1.2781045038308985,-8.569564711763398,8.938148140225934,,,,,,,,,
68,2246.5,10,734,264,61.641271971949244,22.17070272560572,-1.5567590177205581,2.3351385265808373,-31.197575505421945,46.79636325813292,,,,,,,,,
69,2282.7,10,734,264,61.641271971949244,22.17070272560572,-2.956986562651548,5.069119821688355,-58.96284272485655,101.07915895689669,,,,,,,,,
70,2314.6,10,733,266,61.55729203738255,22.338662594739098,-4.5638551463145465,8.30180206531857,-75.71076034049086,134.54903391263755,,,,,,,,,
71,2351.6,10,730,270,61.30535223368249,22.67458233300585,-7.089146098558343,12.955266564381615,-74.0809607617101,155.29931776566892,,,,,,,,,
72,2382.4,10,727,276,61.05341242998242,23.178461940405985,-9.233650209531769,16.78600697052381,-66.94816323061393,133.96371263458627,,,,,,,,,
73,2415.0,10,723,284,60.71749269171567,23.85030141693949,-11.975158325627309,20.65677843982747,-71.92476115976322,111.56603330865502,,,,,,,,,
74,2446.6,10,718,293,60.29759301888223,24.606120828039685,-13.810705347031641,25.579834175581873,-67.42554973246465,110.48105299644178,,,,,,,,,
75,2482.5,10,712,304,59.7937134114821,25.529900108273257,-16.741642408552327,29.302261209013132,-83.06167091565108,116.11129712544027,,,,,,,,,
76,2517.0,10,704,316,59.121873934948596,26.537659323073516,-19.081673043777702,33.988960891015665,-67.41866468632294,149.84930887150566,,,,,,,,,
