frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,128.9,21,814,828,64.29503790425659,65.40084936698337,,,,,,,,,,,,,,,,,,,,,,,46,792,22,62.55733417711452,1.7377037271420699,,,,,,,,,,,,,
1,128.9,19,815,832,64.3740244373085,65.71679549919101,,,,,,,,,,,,,,,,,,,,,,,50,790,26,,,,,,,,,,,,,,,
2,250.3,20,814,827,64.29503790425659,65.32186283393145,,,,,,,,,,,,,,,,,,,,,,,51,787,23,,,,,,,,,,,,,,,
3,282.4,19,812,828,64.13706483815277,65.40084936698337,-808.4637734167418,-1502.0641572398804,-10520.320950110117,-19570.868498239488,,,,,,,,,,,,,,,,,,,52,785,22,62.00442844575113,1.7377037271420699,,,,,,,,,,,,,
4,282.4,13,446,146,35.22799374115287,11.532033825579191,-50.08730542461855,-93.11623718506318,1821.35656089522,3386.0449885477524,11,401,137,31.67359975381682,10.821155028111981,,,,,12,810,831,63.97909177204894,65.6378089661391,,,,,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,,,,
5,291.1,14,446,146,35.22799374115287,11.532033825579191,-378.7071837508445,-700.8141090606659,16358.841630706042,30272.747691605473,12,401,137,31.67359975381682,10.821155028111981,,,,,13,809,831,63.90010523899703,65.6378089661391,,,,,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,,,,
6,312.4,13,445,146,35.14900720810096,11.532033825579191,-511.527473164115,-951.5158368546969,30316.07430028523,56274.08985725169,12,401,136,31.67359975381682,10.742168495060069,,,,,13,809,831,63.90010523899703,65.6378089661391,,,,,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,,,,
7,337.4,13,446,146,35.22799374115287,11.532033825579191,-1.0885248957281153,0.0,-39.58272348102238,0.0,12,401,136,31.67359975381682,10.742168495060069,0.0,0.4717684890232784,0.0,69.37771897401171,13,809,831,63.90010523899703,65.6378089661391,-0.6167564067048474,0.0,29.794995492987773,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
8,337.4,13,446,146,35.22799374115287,11.532033825579191,-1.007242653177404,0.0,-43.50940186511469,0.0,12,401,136,31.67359975381682,10.742168495060069,0.0,-0.8053280175025254,0.0,38.90473514504951,13,810,831,63.97909177204894,65.6378089661391,-0.2019146356748966,0.0,-82.41413701016332,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
9,346.3,13,446,147,35.22799374115287,11.611020358631103,1.140430005058771,-0.10036863741563849,-70.18030800361666,-143.38376773662318,12,402,136,31.752586286868734,10.742168495060069,-0.10036863741564091,1.240798642474435,-143.38376773662642,73.20345973300493,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
10,378.8,13,445,146,35.14900720810096,11.532033825579191,0.8442567369920954,0.0,132.9538168491484,0.0,12,401,137,31.67359975381682,10.821155028111981,0.0,0.7811178987195251,0.0,-54.43330304665681,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
11,378.8,13,445,146,35.14900720810096,11.532033825579191,-0.6813883113518838,0.0,59.25115750885962,0.0,12,401,136,31.67359975381682,10.742168495060069,0.4799343758217853,0.4799343758217744,23.185235546946128,23.185235546945606,13,809,831,63.90010523899703,65.6378089661391,-1.1613226871736475,0.0,36.065921961914526,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
12,378.8,13,446,146,35.22799374115287,11.532033825579191,0.0,-1.8185304398056925,0.0,37.6507337433891,11,401,137,31.67359975381682,10.821155028111981,-1.6126888895135199,1.8185304398056925,50.31790606906462,-37.6507337433891,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
13,407.5,13,446,146,35.22799374115287,11.532033825579191,1.9662083565195576,0.0,-54.76903500054477,0.0,11,401,137,31.67359975381682,10.821155028111981,0.17458477724303684,-0.17458477724303292,12.166186567459016,-12.166186567458745,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
14,443.2,13,446,146,35.22799374115287,11.532033825579191,0.7526745270086165,0.0,-14.715044516297485,0.0,12,402,137,31.752586286868734,10.821155028111981,0.4543920879807216,0.7526745270086335,-23.9784742997742,-14.715044516297814,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
15,475.4,13,446,146,35.22799374115287,11.532033825579191,0.0,0.3881027005500882,0.0,8.035252599380712,11,402,137,31.752586286868734,10.821155028111981,0.41590334365325554,-0.3881027005500882,-8.31806687306511,-8.035252599380712,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,-0.3881027005500446,0.0,-8.035252599379808,0.0
16,508.0,13,445,146,35.14900720810096,11.532033825579191,0.007898850776460496,0.0,15.797701552920945,0.0,11,402,136,31.752586286868734,10.742168495060069,0.39100298699828157,0.007898850776460657,-7.859356522578524,15.797701552921298,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
17,545.5,13,446,146,35.22799374115287,11.532033825579191,0.0,0.0,0.0,0.0,11,401,137,31.67359975381682,10.821155028111981,0.033056563346599975,-0.41101905929276195,15.741220641238096,-8.035563231530045,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
18,575.4,13,446,147,35.22799374115287,11.611020358631103,0.0,0.0007890762542649304,0.0,-15.781525085297178,12,402,136,31.752586286868734,10.742168495060069,0.0,-0.0007890762542649304,0.0,15.781525085297178,13,809,831,63.90010523899703,65.6378089661391,0.0,0.39434095665405805,0.0,7.8868191330811594,,,,,,,,,,9,820,63,64.76895710256807,4.976151582270473,-0.0007890762542648763,0.0,15.781525085295403,0.0
19,607.5,13,446,146,35.22799374115287,11.532033825579191,0.010237944979608381,0.38925540452541857,-15.750684584013445,7.82422923669183,12,402,137,31.752586286868734,10.821155028111981,-0.38925540452542734,0.010237944979608596,-7.824229236692006,-15.7506845840138,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
20,643.6,13,446,146,35.22799374115287,11.532033825579191,0.0,0.0,0.0,0.0,12,402,136,31.752586286868734,10.742168495060069,0.05003405671793152,-0.050034056717930375,-15.395094374748156,15.395094374747808,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
21,675.5,13,446,146,35.22799374115287,11.532033825579191,0.0,-0.3939460238901096,0.0,7.894709897597389,12,402,137,31.752586286868734,10.821155028111981,-0.39631799659833,0.3939460238901096,-7.918441490476122,-7.894709897597389,13,809,832,63.90010523899703,65.71679549919101,0.39631799659831213,-0.002371972708211289,7.918441490475765,-15.813151388071553,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.3939460238900652,0.0,-7.894709897596502,0.0
22,708.3,13,445,147,35.14900720810096,11.611020358631103,0.01183680601290952,-0.011836806012909845,15.78240801721387,-15.782408017214223,12,401,136,31.67359975381682,10.742168495060069,-0.3888612604439389,-0.38886126044393016,7.832049555769158,7.8320495557689815,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
23,748.2,13,446,146,35.22799374115287,11.532033825579191,0.0,0.0,0.0,0.0,11,401,137,31.67359975381682,10.821155028111981,-0.3594052655948533,0.3594052655948452,7.566426644102174,-7.5664266441020045,13,809,831,63.90010523899703,65.6378089661391,0.4357130765335856,0.4357130765335464,8.331033968137389,8.33103396813664,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
24,775.3,13,446,146,35.22799374115287,11.532033825579191,0.0,0.0,0.0,0.0,12,401,137,31.67359975381682,10.821155028111981,-0.3965155617135172,0.0,7.914482269730879,0.0,13,810,831,63.97909177204894,65.6378089661391,0.0031594739599728693,-0.3965155617134637,-15.79736979986132,7.914482269729812,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
25,807.6,13,446,146,35.22799374115287,11.532033825579191,0.39871546827696785,-0.003985137094526169,-7.990289945430222,15.940548378108156,12,401,136,31.67359975381682,10.742168495060069,0.3947303311824596,0.39473033118245066,7.950258432677932,7.950258432677753,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
26,843.2,13,446,146,35.22799374115287,11.532033825579191,0.0,0.0,0.0,0.0,11,401,137,31.67359975381682,10.821155028111981,0.0,-0.38364462877174366,0.0,-8.07672902677355,13,810,832,63.97909177204894,65.71679549919101,0.043148437007031214,0.04314843700702731,-16.59555269501222,-16.59555269501073,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
27,875.5,13,446,146,35.22799374115287,11.532033825579191,0.0,0.0,0.0,0.0,11,401,137,31.67359975381682,10.821155028111981,0.3965155617135172,-0.3965155617135083,7.914482269730879,-7.914482269730702,13,809,831,63.90010523899703,65.6378089661391,-0.3933560877535265,0.0,7.882887530130795,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
28,907.4,13,446,147,35.22799374115287,11.611020358631103,0.0,0.0015828964539465757,0.0,-15.828964539461404,12,402,137,31.752586286868734,10.821155028111981,0.3961202337202645,0.0015828964539465757,-7.922404674405289,-15.828964539461404,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
29,943.4,13,446,146,35.22799374115287,11.532033825579191,-0.3971118263144336,0.3971118263144425,-7.926383758771134,7.926383758771314,12,401,136,31.67359975381682,10.742168495060069,0.3971118263144514,-0.39315852263834866,7.9263837587714905,7.886830945603791,13,809,831,63.90010523899703,65.6378089661391,-0.39315852263833984,-0.3931585226383045,7.886830945603613,7.886830945602904,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
30,975.3,13,446,146,35.22799374115287,11.532033825579191,-0.38753151232870586,0.0,-7.7661625717175555,0.0,12,402,136,31.752586286868734,10.742168495060069,0.3984804008441619,-0.3984804008441529,-7.875106736050627,7.87510673605045,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
31,1007.4,13,446,146,35.22799374115287,11.532033825579191,0.0,-0.0023625084661593574,0.0,15.750056441059288,11,402,136,31.752586286868734,10.742168495060069,-0.3931616685237054,-0.39552417698985587,-7.863233370474107,7.886823070585357,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
32,1043.1,13,445,147,35.14900720810096,11.611020358631103,-0.002376726170068212,0.3967161024983437,15.844841133783481,-7.934322049966873,11,402,136,31.752586286868734,10.742168495060069,0.002376726170068321,0.3943393763282755,-15.844841133784197,7.910519083816966,13,809,831,63.90010523899703,65.6378089661391,0.3943393763282666,0.0,7.910519083816788,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
33,1076.5,13,445,146,35.14900720810096,11.532033825579191,0.019769486789706466,0.0,15.815589431765227,0.0,12,402,136,31.752586286868734,10.742168495060069,0.0,0.0,0.0,0.0,13,809,831,63.90010523899703,65.6378089661391,0.0,0.0,0.0,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
34,1107.7,13,446,147,35.22799374115287,11.611020358631103,0.0,-0.004739234636226748,0.0,-15.797448787421544,12,401,136,31.67359975381682,10.742168495060069,-0.39257015679341145,0.3973093914296294,7.875028220529816,7.922420566891907,13,809,831,63.90010523899703,65.6378089661391,0.3973093914296205,0.0,7.922420566891729,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
35,1143.1,13,446,147,35.22799374115287,11.611020358631103,0.39552417698984726,0.0,-7.886823070585176,0.0,12,401,137,31.67359975381682,10.821155028111981,-0.0023625084661602173,0.39552417698985615,15.750056441059623,-7.886823070585353,13,810,831,63.97909177204894,65.6378089661391,0.0023625084661601636,0.0,-15.750056441058918,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
36,1175.2,13,446,146,35.22799374115287,11.532033825579191,0.4027523025904987,0.0,-8.055046051809974,0.0,12,402,136,31.752586286868734,10.742168495060069,0.0,0.0,0.0,0.0,13,809,831,63.90010523899703,65.6378089661391,0.0,-0.3923488078623191,0.0,-7.950330453137162,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
37,1207.4,13,446,146,35.22799374115287,11.532033825579191,0.0,-0.396517943202656,0.0,7.9382971612143445,12,401,137,31.67359975381682,10.821155028111981,0.39493187301910426,0.0015860701835606144,7.922404674405298,-15.860701835619462,13,810,831,63.97909177204894,65.6378089661391,0.0015860701835605053,0.0,-15.860701835619107,0.0,,,,,,,,,,10,821,63,64.84794363561997,4.976151582270473,0.0,0.0,0.0,0.0
