frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,123.2,6,543,705,,,,,,,54,959,647,80.53675724945413,54.33501766464736,,,,
1,123.2,,,,,,,,,,53,958,650,,,,,,
2,222.4,,,,,,,,,,50,960,645,,,,,,
3,303.3,,,,,,,,,,35,834,9,70.03926542861808,0.7558194111001951,,,,
4,303.3,9,733,302,61.55729203738255,25.36194023913988,,,,,,,,,,,,,
5,303.3,10,733,302,61.55729203738255,25.36194023913988,,,,,,,,,,,,,
6,316.9,10,733,302,61.55729203738255,25.36194023913988,,,,,,,,,,,,,
7,327.6,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
8,343.9,10,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
9,356.9,10,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
10,367.9,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
11,377.5,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
12,386.8,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
13,417.9,10,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
14,448.7,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
15,484.7,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
16,517.2,10,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
17,548.8,10,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
18,584.6,10,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
19,616.5,10,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
20,648.5,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
21,684.8,9,733,302,61.55729203738255,25.36194023913988,0.0,0.0,0.0,0.0,,,,,,,,,
