frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,132.2,8,251,259,,,,,,,,,,,,,,,,,,,,,,,,,23,555,676,46.60886368451203,56.770435767081324,,,,,,,,,,,,,
1,132.2,6,250,256,20.994983641672086,21.498863249072215,,,,,,,,,,,,,,,,,,,,,,,47,919,99,77.1775598667866,8.314013522102146,,,,,,,,,,,,,
2,241.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,631,12,52.99133871158035,1.00775921480026,,,,,,,,,,,,,
3,269.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,953,647,80.03287764205399,54.33501766464736,-615.8683727854013,171.64442031300337,-12564.170761408799,2767.482542138495,,,,,,,,,
4,298.5,10,364,154,30.568696182274557,12.932909923270005,10.707876757438873,-9.5807318356032,-563.5724609178353,504.2490439791158,13,288,112,24.186221155206244,9.405752671469095,,,,,13,262,256,22.002742856472345,21.498863249072215,,,,,11,284,819,23.85030141693949,68.77956641011775,-59.64475211380426,67.62869531014024,3139.197479673908,-3559.405016323171,12,265,788,22.25468266017241,66.17618843855041,,,,
5,311.9,10,364,154,30.568696182274557,12.932909923270005,,,,,13,288,112,24.186221155206244,9.405752671469095,,,,,14,262,256,22.002742856472345,21.498863249072215,,,,,12,284,819,23.85030141693949,68.77956641011775,-136.01957366166,316.33370589325534,7839.744879634572,-18232.490253213542,13,265,788,22.25468266017241,66.17618843855041,,,,
6,326.6,10,364,154,30.568696182274557,12.932909923270005,,,,,13,288,112,24.186221155206244,9.405752671469095,,,,,14,262,256,22.002742856472345,21.498863249072215,,,,,12,284,819,23.85030141693949,68.77956641011775,-332.0529638623048,85.37086664322334,22436.011071777375,-5768.3018002178,12,265,788,22.25468266017241,66.17618843855041,,,,
7,336.5,10,364,154,30.568696182274557,12.932909923270005,0.0,0.0,0.0,0.0,14,288,112,24.186221155206244,9.405752671469095,0.0,0.0,0.0,0.0,13,261,256,21.918762921905657,21.498863249072215,-1.011996358431825,0.0,63.052732612574715,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
8,346.6,10,364,154,30.568696182274557,12.932909923270005,0.0,0.0,0.0,0.0,13,288,112,24.186221155206244,9.405752671469095,0.0,0.0,0.0,0.0,14,262,256,22.002742856472345,21.498863249072215,0.0,0.0,0.0,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,12,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
9,356.2,10,364,154,30.568696182274557,12.932909923270005,0.0,0.0,0.0,0.0,13,289,112,24.270201089772932,9.405752671469095,0.2845783538056324,0.0,-172.4717295791676,0.0,14,262,256,22.002742856472345,21.498863249072215,0.0,0.0,0.0,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
10,368.6,10,364,154,30.568696182274557,12.932909923270005,0.0,0.0,0.0,0.0,13,288,112,24.186221155206244,9.405752671469095,0.0,-0.7715474417539687,0.0,-48.071491698066545,13,261,256,21.918762921905657,21.498863249072215,0.0,0.7715474417539687,0.0,48.071491698066545,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
