frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,122.4,6,543,705,45.60110446971177,59.20585386951528,,,,,,,,,,,,,,,,,,,,,,,42,259,359,21.75080305277228,30.148796509441116,,,,,,,,,,,,,
1,233.5,8,250,255,20.994983641672086,21.414883314505527,,,,,,,,,,,,,,,,,,,,,,,43,424,696,35.607492256275854,58.45003445841509,,,,,,,,,,,,,
2,233.5,6,250,256,20.994983641672086,21.498863249072215,,,,,,,,,,,,,,,,,,,,,,,56,424,677,35.607492256275854,56.85441570164801,,,,,,,,,,,,,
3,257.2,7,250,255,20.994983641672086,21.414883314505527,134.9051856178697,-225.58287500634654,4709.839376208355,812.545567469362,,,,,,,,,,,,,,,,,,,53,957,652,80.36879738032074,54.7549173374808,-955.5908506242271,304.8598814324208,-20629.70980105644,1814.8648826980345,,,,,,,,,
4,289.0,10,363,153,30.48471624770787,12.848929988703317,42.573011971633996,-38.4287364699705,-4627.5013012645695,4177.036572822885,13,289,112,24.270201089772932,9.405752671469095,,,,,14,262,256,22.002742856472345,21.498863249072215,,,,,12,283,819,23.766321482372803,68.77956641011775,-49.69434966217636,46.340535154964414,5897.660493565303,-5037.014690757008,12,265,788,22.25468266017241,66.17618843855041,,,,
5,298.2,10,363,153,30.48471624770787,12.848929988703317,34.2352476869007,-31.205579750006827,-3475.659663644743,3168.079162437243,13,289,112,24.270201089772932,9.405752671469095,,,,,13,262,256,22.002742856472345,21.498863249072215,,,,,12,284,819,23.85030141693949,68.77956641011775,-42.41535111651412,43.021284703892896,4306.127016904989,-4367.64311714649,13,266,788,22.338662594739098,66.17618843855041,,,,
6,298.2,10,363,153,30.48471624770787,12.848929988703317,93.78801927719975,-86.20429652075747,-6715.55480746055,5986.409480608154,13,289,112,24.270201089772932,9.405752671469095,,,,,14,262,256,22.002742856472345,21.498863249072215,,,,,12,284,819,23.85030141693949,68.77956641011775,-568.7793290046056,141.13840704869116,39498.56451420871,-9801.278267270216,13,265,788,22.25468266017241,66.17618843855041,,,,
7,307.4,10,363,153,30.48471624770787,12.848929988703317,0.0,0.0,0.0,0.0,13,289,112,24.270201089772932,9.405752671469095,1.1431166515213826,0.0,124.25180994797653,0.0,13,261,256,21.918762921905657,21.498863249072215,-1.6379967543495197,0.0,318.0576222037883,0.0,12,284,819,23.85030141693949,68.77956641011775,2.7811134058709026,0.0,-193.80581225581176,0.0,12,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
8,317.9,10,363,153,30.48471624770787,12.848929988703317,0.0,0.0,0.0,0.0,13,289,112,24.270201089772932,9.405752671469095,0.0,0.0,0.0,0.0,13,262,256,22.002742856472345,21.498863249072215,0.0,0.0,0.0,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,-2.5594938923342796,0.0,172.93877650907282,0.0
9,327.0,10,362,153,30.40073631314118,12.848929988703317,-1.272527003721698,0.0,114.12798239656478,0.0,13,289,112,24.270201089772932,9.405752671469095,0.0,0.0,0.0,0.0,13,261,256,21.918762921905657,21.498863249072215,-1.272527003721698,0.0,114.12798239656478,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,266,788,22.338662594739098,66.17618843855041,1.272527003721698,0.0,-114.12798239656478,0.0
10,336.1,10,363,153,30.48471624770787,12.848929988703317,0.0,0.0,0.0,0.0,13,290,112,24.35418102433962,9.405752671469095,2.1076122435079063,0.0,-57.03957357260912,0.0,13,262,256,22.002742856472345,21.498863249072215,2.1076122435079063,0.0,-57.03957357260912,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,12,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
11,347.5,10,363,153,30.48471624770787,12.848929988703317,0.0,0.0,0.0,0.0,13,289,112,24.270201089772932,9.405752671469095,0.0,0.0,0.0,0.0,14,262,256,22.002742856472345,21.498863249072215,-0.21117676629454193,0.0,-14.268700425306879,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,12,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
12,378.1,10,363,153,30.48471624770787,12.848929988703317,1.086915878474163,0.0,-21.781881332147563,0.0,13,289,112,24.270201089772932,9.405752671469095,0.0,0.0,0.0,0.0,13,262,256,22.002742856472345,21.498863249072215,1.086915878474163,0.0,-21.781881332147563,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,-1.086915878474163,0.0,21.781881332147563,0.0
13,410.0,10,363,153,30.48471624770787,12.848929988703317,0.0,0.0,0.0,0.0,13,290,112,24.35418102433962,9.405752671469095,-0.35187416027368473,0.0,-9.522981333523271,0.0,13,262,256,22.002742856472345,21.498863249072215,0.0,0.0,0.0,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,0.35187416027368473,0.0,9.522981333523271,0.0
14,442.2,10,363,153,30.48471624770787,12.848929988703317,0.0,0.0,0.0,0.0,13,289,112,24.270201089772932,9.405752671469095,0.0,0.0,0.0,0.0,13,261,256,21.918762921905657,21.498863249072215,-0.043627697630731044,0.0,17.80722352274745,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,0.0,0.0,0.0,0.0
